"instrument_id","instrument_version","language","item_id","type","label","required","active","order","page","section","options","slider_min","slider_max","slider_value","slider_step","slider_pre","slider_post","slider_left_label","slider_right_label","slider_ticks","width","placeholder","tracer_duration_seconds","tracer_y_min","tracer_y_max","tracer_samples","tracer_height","tracer_min_points","tracer_instruction","tracer_x_label","tracer_y_label","tracer_top_label","tracer_grid_cols","tracer_grid_rows"
"axp_core","0.1","de","q0","selectInput","Die Substanz, die ich genommen habe, war:","1","1","1","1","core","Cannabis;Psilocybin;Alkohol;MDMA;Sonstiges","","","","","","","","","","100%","Bitte wähle eine Substanz, um fortzufahren.","","","","","","","","","","","",""
"axp_core","0.1","de","q1","radioButtons","Die Dosis, die ich genommen habe, war:","1","1","2","1","core","Niedrige Dosis;Mittlere Dosis;Hohe Dosis","","","","","","","","","","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q_context","textInput","Ich war ...","0","1","3","1","core","","","","","","","","","","","100%","Beschreibe den Kontext, in dem du diese Erfahrung gemacht hast.","","","","","","","","","","","",""
"axp_core","0.1","de","q_free","textInput","Meine Erfahrung war ...","0","1","4","1","core","","","","","","","","","","","100%","Meine Erfahrung war ...","","","","","","","","","","","",""
"axp_core","0.1","de","q2","sliderInput","Ich fühlte mich wie eine Marionette.","1","1","5","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q3","sliderInput","Ich hatte das Gefühl, mit einer höheren Macht verbunden zu sein.","1","1","6","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q4","sliderInput","Ich empfand grenzenlose Freude.","1","1","7","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q5","sliderInput","Ich sah in völliger Dunkelheit oder mit geschlossenen Augen regelmäßige Muster.","1","1","8","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q6","sliderInput","Alle Dinge schienen sich zu einem einzigen Ganzen zu vereinen.","1","1","9","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q7","sliderInput","Töne schienen das, was ich sah, zu beeinflussen.","1","1","10","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q8","sliderInput","Ich sah in völliger Dunkelheit oder mit geschlossenen Augen Farben vor mir.","1","1","11","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q9","sliderInput","Formen schienen sich durch Töne oder Geräusche zu verändern.","1","1","12","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q10","sliderInput","Mein Körper erschien mir gefühllos, leblos, fremd.","1","1","13","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
"axp_core","0.1","de","q11","sliderInput","Ich war unfähig, auch nur die kleinste Entscheidung zu treffen.","1","1","14","1","core","","0","100","50","1","","","NICHT MEHR ALS GEWÖHNLICH","VIEL MEHR ALS GEWÖHNLICH","FALSE","100%","","","","","","","","","","","","",""
